reader;6.0;5.88235294117647%
java;6.0;5.88235294117647%
symbol;4.0;3.9215686274509802%
StringBuilder;4.0;3.9215686274509802%
import;4.0;3.9215686274509802%
builder;4.0;3.9215686274509802%
e;4.0;3.9215686274509802%
new;3.0;2.941176470588235%
read;3.0;2.941176470588235%
io;3.0;2.941176470588235%
private;3.0;2.941176470588235%
file;3.0;2.941176470588235%
public;3.0;2.941176470588235%
InputStreamReader;3.0;2.941176470588235%
IOException;3.0;2.941176470588235%
com;2.0;1.9607843137254901%
while;2.0;1.9607843137254901%
Read;2.0;1.9607843137254901%
catch;2.0;1.9607843137254901%
text;2.0;1.9607843137254901%
FileInputStream;2.0;1.9607843137254901%
null;2.0;1.9607843137254901%
try;2.0;1.9607843137254901%
System;2.0;1.9607843137254901%
company;2.0;1.9607843137254901%
err;2.0;1.9607843137254901%
Users;1.0;0.9803921568627451%
String;1.0;0.9803921568627451%
if;1.0;0.9803921568627451%
void;1.0;0.9803921568627451%
package;1.0;0.9803921568627451%
printStackTrace;1.0;0.9803921568627451%
finally;1.0;0.9803921568627451%
1;1.0;0.9803921568627451%
C;1.0;0.9803921568627451%
getLocalizedMessage;1.0;0.9803921568627451%
println;1.0;0.9803921568627451%
lang;1.0;0.9803921568627451%
close;1.0;0.9803921568627451%
class;1.0;0.9803921568627451%
GetSrting;1.0;0.9803921568627451%
src;1.0;0.9803921568627451%
reading;1.0;0.9803921568627451%
Error;1.0;0.9803921568627451%
Alena;1.0;0.9803921568627451%
int;1.0;0.9803921568627451%
char;1.0;0.9803921568627451%
toString;1.0;0.9803921568627451%
return;1.0;0.9803921568627451%
append;1.0;0.9803921568627451%
